epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.68759,2.01546,3.08169,1.99055,0.00667,1,0.14875,0.05092,2.96001,3.40246,3.17943,0,0,0
2,8.49033,2.05906,3.37005,2.09823,0.00667,1,0.19064,0.06498,2.68498,3.60481,3.13598,1.9802e-05,1.9802e-05,1.9802e-05
3,12.2955,1.8178,3.36711,1.90893,0.00667,1,0.19,0.06818,1.94474,3.81078,2.81593,3.9208e-05,3.9208e-05,3.9208e-05
4,15.81,1.9909,5.83075,1.85324,0.00667,1,0.15823,0.07803,2.039,3.73701,2.79241,5.8218e-05,5.8218e-05,5.8218e-05
5,19.331,1.54048,3.3674,1.78627,0.00667,1,0.1953,0.07491,2.16172,3.3484,2.84094,7.6832e-05,7.6832e-05,7.6832e-05
6,22.879,1.87558,3.40937,2.03148,0.00667,1,0.215,0.09318,2.10814,3.08591,2.86239,9.505e-05,9.505e-05,9.505e-05
7,26.4014,1.51369,3.54449,1.72397,0.00667,1,0.31893,0.10292,2.33118,3.06688,2.9805,0.000112872,0.000112872,0.000112872
8,30.0902,1.75141,3.67104,1.80922,0.00667,1,0.33841,0.13995,2.42657,3.0636,2.95358,0.000130298,0.000130298,0.000130298
9,33.6317,1.51007,2.97845,1.57135,0.00667,1,0.33841,0.1692,2.40813,3.12077,2.89539,0.000147328,0.000147328,0.000147328
10,37.1587,1.84477,2.89263,1.77029,0.00667,1,0.3475,0.19858,2.22842,3.15053,2.76721,0.000163962,0.000163962,0.000163962
11,40.6426,1.6213,2.61546,1.70885,0.00667,1,0.23486,0.12989,2.26611,3.16297,2.7271,0.0001802,0.0001802,0.0001802
12,44.1813,1.39,2.79377,1.65191,0.00667,1,0.24875,0.1274,2.218,3.16658,2.61796,0.000196042,0.000196042,0.000196042
13,47.7103,1.5267,2.40963,1.41869,0.00667,1,0.3725,0.1631,1.9375,3.16893,2.53087,0.000211488,0.000211488,0.000211488
14,51.2304,1.65179,2.40635,1.54527,0.00667,1,0.199,0.09919,1.75747,3.16773,2.43711,0.000226538,0.000226538,0.000226538
15,54.8348,1.46243,2.0223,1.53841,0.00667,1,0.199,0.04972,1.82387,3.07169,2.42458,0.000241192,0.000241192,0.000241192
16,58.3712,1.85452,2.33361,1.93824,0.00667,1,0.22375,0.10835,1.63773,3.05628,2.20227,0.00025545,0.00025545,0.00025545
17,61.9252,1.42277,2.00113,1.45227,0.00667,1,0.30786,0.1297,1.55993,2.95586,2.04668,0.000269312,0.000269312,0.000269312
18,65.3938,1.31008,1.86471,1.39659,0.00667,1,0.30786,0.1297,1.55993,2.95586,2.04668,0.000282778,0.000282778,0.000282778
19,68.9803,1.58687,2.23587,1.57591,0.00667,1,0.82833,0.31994,1.30336,3.03709,1.95633,0.000295848,0.000295848,0.000295848
20,72.444,1.29301,2.27988,1.43197,0.00667,1,0.82833,0.31994,1.30336,3.03709,1.95633,0.000308522,0.000308522,0.000308522
21,76.1365,1.32398,1.91649,1.29187,0.00667,1,0.82833,0.32453,1.50931,2.94073,2.07252,0.0003208,0.0003208,0.0003208
22,80.0759,1.60184,1.83562,1.53933,0.00667,1,0.82833,0.32453,1.50931,2.94073,2.07252,0.000332682,0.000332682,0.000332682
23,83.7655,1.52632,2.1305,1.5443,0.00667,1,0.63786,0.34306,1.7579,2.94545,2.1372,0.000344168,0.000344168,0.000344168
24,87.3446,1.55504,2.4294,1.56581,0.00667,1,0.63786,0.34306,1.7579,2.94545,2.1372,0.000355258,0.000355258,0.000355258
25,91.0094,1.10027,1.9011,1.34956,0.00667,1,0.62,0.40917,1.48152,2.92529,1.92076,0.000365952,0.000365952,0.000365952
26,94.4479,1.31763,1.70401,1.51942,0.00667,1,0.62,0.40917,1.48152,2.92529,1.92076,0.00037625,0.00037625,0.00037625
27,97.9826,1.44233,1.68531,1.5383,0.00667,1,0.695,0.53608,1.40465,2.8653,1.80985,0.000386152,0.000386152,0.000386152
28,101.441,1.17665,1.64066,1.42364,0.00667,1,0.695,0.53608,1.40465,2.8653,1.80985,0.000395658,0.000395658,0.000395658
29,104.979,1.50031,2.02502,1.52643,0.00667,1,0.82833,0.59617,1.45561,2.84413,1.85542,0.000404768,0.000404768,0.000404768
30,108.445,1.39709,2.24936,1.76335,0.00667,1,0.82833,0.59617,1.45561,2.84413,1.85542,0.000413482,0.000413482,0.000413482
31,112.053,1.49852,1.79403,1.64435,0.00667,1,0.695,0.46658,1.56163,2.99887,1.98638,0.0004218,0.0004218,0.0004218
32,115.55,1.5934,2.16024,1.66847,0.00667,1,0.695,0.46658,1.56163,2.99887,1.98638,0.000429722,0.000429722,0.000429722
33,119.122,1.60405,2.0726,1.6619,0.00667,1,0.595,0.17137,2.10305,3.1431,2.28992,0.000437248,0.000437248,0.000437248
34,122.597,1.34385,1.75026,1.54311,0.00667,1,0.595,0.17137,2.10305,3.1431,2.28992,0.000444378,0.000444378,0.000444378
35,126.121,1.43935,2.09697,1.46333,0.00667,1,0.595,0.26304,1.79619,3.33577,2.10351,0.000451112,0.000451112,0.000451112
36,129.627,1.36705,1.97507,1.58716,0.00667,1,0.595,0.26304,1.79619,3.33577,2.10351,0.00045745,0.00045745,0.00045745
37,133.242,1.0555,1.84424,1.37162,0.00667,1,0.56643,0.22446,1.73527,3.23966,2.13523,0.000463392,0.000463392,0.000463392
38,136.787,1.26453,1.80583,1.38098,0.00667,1,0.56643,0.22446,1.73527,3.23966,2.13523,0.000468938,0.000468938,0.000468938
39,141.163,1.31315,1.85368,1.56808,0.00667,1,0.54763,0.32357,1.63702,2.89066,1.98944,0.000474088,0.000474088,0.000474088
40,145.041,1.14732,1.63107,1.40902,0.00667,1,0.54763,0.32357,1.63702,2.89066,1.98944,0.000478842,0.000478842,0.000478842
